股票代码,股票简称,年份,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),所处行业
1,平安银行,2015,0.37,16100000000,5054000000.0,4.41,49.0464728754,12.320463568531,4.38,0,8.4613,银行
1,平安银行,2016,0.41,20671000000,5629000000.0,4.21,28.3913043478,11.965449358497,0.84,0,10.2101,银行
1,平安银行,2017,0.35,27532000000,6086000000,3.7,33.1914276039,11.714291271374,3.45,0,10.0796,银行
1,平安银行,2018,0.31,27726000000,6214000000.0,2.89,0.6537846869,10.936604604118,-6.7,0,7.632,银行
1,平安银行,2019,0.33,28026000000,6595000000.0,2.79,1.0820168795,11.848172746917,2.41,0,7.9875,银行
1,平安银行,2020,0.38,32476000000,7446000000.0,2.91,15.8781131806,13.235559425793,3.1,0,8.066,银行
1,平安银行,2021,0.4,37926000000,8548000000,2.77,16.7816233526,14.552828529861,0.93,0,8.36,银行
1,平安银行,2022,0.42,41788000000,10132000000.0,2.72,10.1829879239,15.596877254457,-0.6,0,13.0077,银行
1,平安银行,2023,0.56,46207000000,12850000000.0,3.27,10.5748061644,17.326136246522,7.58,0,9.5134,银行
2,万科A,2015,0.139,9497216581.95,1529479377.61,1.97,-32.1622826183,6.676704808833,-0.51,39.9163205045,-86.8101,房地产开发
2,万科A,2016,0.059,8894338157.14,650232416.58,0.73,-6.3479485764,8.046022273764,-1.39,34.0017197147,-89.3159,房地产开发
2,万科A,2017,0.075,14611312019.58,833232885.76,0.83,64.2765516831,9.116346689218,-0.971644301284,31.7809593535,-87.3989,房地产开发
2,万科A,2018,0.063,18589228819.05,695411556.91,0.61,27.2249117269,10.32428724931,-0.86274166395,29.8041241543,-84.9385,房地产开发
2,万科A,2019,0.081,30825615283.99,894878011.08,0.66,65.8251430656,12.336561834075,-2.514110977324,34.1719704106,-75.4957,房地产开发
2,万科A,2020,0.102,48374630775.09,1120626569.29,0.72,56.9299763506,14.272059912678,-2.419805754915,35.0439663778,-60.2369,房地产开发
2,万科A,2021,0.1105,47774342784.96,1249359312.96,0.66,-1.2409148773,16.692751442445,-0.261354172339,31.2754136786,-66.8186,房地产开发
2,万科A,2022,0.1112,62264095939.36,1292286264.34,0.57,30.3295708737,19.427859494938,1.452902699637,20.4103945843,-64.9454,房地产开发
2,万科A,2023,0.1229,62667074774.2,1429295356.15,0.6,0.6472090035,20.375278020611,-1.140537861392,18.8747805749,-65.4369,房地产开发
6,深振业A,2015,0.0228,262919739.06,30721208.97,0.75,-12.9916234584,3.027946002359,-0.067505829558,35.3064970062,-91.2257,房地产开发
6,深振业A,2016,0.1494,1389232679.27,201622858.44,4.76,428.3866035456,3.212311457719,-0.547716897481,33.2581905216,-17.2522,房地产开发
6,深振业A,2017,0.0362,382487016.97,48808316.64,1.11,-72.4677498106,3.289590635794,0.388449348962,44.3140511677,-71.6436,房地产开发
6,深振业A,2018,0.0769,1167907487.84,103858804.96,2.05,205.3456551524,3.784455721284,0.024156353237,22.6900997698,-47.228,房地产开发
6,深振业A,2019,0.212,485058860.26,286207670.37,5.01,-58.4676983999,4.336299318005,-0.110955116483,22.9650366845,-24.232,房地产开发
6,深振业A,2020,0.0821,413493627.58,110881968.57,1.77,-14.7539275216,4.673018001171,-0.124100211046,39.2679927428,-54.9548,房地产开发
6,深振业A,2021,0.0948,652209471.04,127952311.57,1.88,57.731444341,5.084119071553,-0.18369543922,47.8153528241,-63.108,房地产开发
6,深振业A,2022,0.1995,918286858.38,269373883.33,3.59,40.7963084185,5.654696574746,0.229321576888,50.0227367634,-31.022,房地产开发
6,深振业A,2023,0.0329,351392171.03,44431954.3,0.58,-61.7339431765,5.696325773443,-0.090588093565,46.9821947814,-55.3106,房地产开发
8,神州高铁,2015,0.0087,70980751.77,4802069.06,0.84,-1.8177354245,1.872145449214,0.029378228556,43.3529983871,-6.9222,交运设备
8,神州高铁,2016,0.0766,230819612.34,56443118.09,2.72,225.1862041246,3.455490336905,-0.025072673559,45.5088029848,189.9492,交运设备
8,神州高铁,2017,0.0029,212666576.76,11592551.9,0.24,-7.8645984178,2.029738308992,0.009329635787,47.8977984749,-60.0226,交运设备
8,神州高铁,2018,0.0027,202465470.55,9341214.28,0.12,-4.7967604338,2.183876383528,-0.065855934405,39.216780345,-76.6927,交运设备
8,神州高铁,2019,0.0037,209019068.23,10524203.55,0.15,3.2368964753,2.528012352933,-0.147353294187,57.7922125158,-84.5376,交运设备
8,神州高铁,2020,0.0042,308747049.47,11740265.79,0.16,47.7123843698,2.634159735957,-0.053315210569,53.0717774538,-75.7918,交运设备
8,神州高铁,2021,-0.0425,119323422.89,-108210287.27,-1.46,-61.3523681943,2.642812344213,-0.111620804737,42.3658259507,-92.8124,交运设备
8,神州高铁,2022,-0.0317,149288551.64,-86010317.61,-1.35,25.1125286421,2.322972697039,-0.05203112033,45.3435123299,-84.5219,交运设备
8,神州高铁,2023,-0.0189,215585239.29,-51340179.91,-1.11,44.4084204192,1.853004410696,0.022485057568,41.5544630259,-81.6051,交运设备
9,中国宝安,2015,0.05,784374239.22,74092194.16,2.31,-20.3231009224,2.566207029081,0.105544678973,34.3138202572,-39.5853,综合行业
9,中国宝安,2016,0.03,906697053.59,55579723.26,1.91,15.5949556033,2.340825250904,-0.06875951431,34.1777504055,-45.0392,综合行业
9,中国宝安,2017,0.014,1388897960.63,30139112.69,0.67,53.1821411717,2.805886856246,0.052835218842,35.1916230357,-20.6419,综合行业
9,中国宝安,2018,0.0156,1274518068,33472004.72,0.75,-8.2352984792,2.107126879792,0.029194053359,33.1860118978,-42.896,综合行业
9,中国宝安,2019,0.02,2033456791.47,35233598.66,0.35,59.5471137307,2.331831393938,0.04688055717,39.2630456648,-6.1868,综合行业
9,中国宝安,2020,0.0256,2249620923.69,66088064.54,1.25,10.6303774502,2.4609443947,0.160976450732,35.7718876713,-55.7215,综合行业
9,中国宝安,2021,0.0156,1628351082.33,40189518.93,0.72,-27.6166457565,2.156052041495,0.04455073318,36.1681061303,-49.2974,综合行业
9,中国宝安,2022,0.0738,3715024231.08,190270285.88,2.72,128.1463912416,2.74635591628,0.093173028578,31.2177714351,1.1365,综合行业
9,中国宝安,2023,0.064,5693657359.97,165134224.14,2.04,53.2603021088,3.173143379169,-0.183807168684,24.6945641764,5.4469,综合行业
10,美丽生态,2015,-0.0098,39387420,-5748184.27,-0.92,-38.3797854465,1.045504899871,-0.047598913175,17.8057069998,-73.8958,工程建设
10,美丽生态,2016,-0.0037,152944871.77,-2169147.11,-0.39,288.3089366351,0.925458167373,-0.167953336756,15.6561473379,53.986,工程建设
10,美丽生态,2017,-0.0399,121254638.15,-32706655.4,-1.51,-20.7200367382,2.613525576623,-0.036739094174,26.8443547864,-70.3922,工程建设
10,美丽生态,2018,-0.0311,105001149,-25508071.72,-1.16,-13.4044267485,2.671303214964,0.954416003144,22.3979080934,-69.6087,工程建设
10,美丽生态,2019,-0.0568,80987934.76,-46564465.41,-4.12,-22.8694775902,1.351174023013,-0.101627723082,9.1576381988,-31.3003,工程建设
10,美丽生态,2020,0.0035,199628684.48,2881506.68,0.41,146.491881873,0.51498927535,-0.074265148867,28.985278063,26.3009,工程建设
